name,establishment,city,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating
Coal Barbecues,Casual Dining,Chennai,Velachery,12.98605734,80.21822412,"North Indian, Mediterranean, Asian, Arabian, BBQ",1400,"Cash, Credit Card, Debit Card, Delivery, Lunch, Takeaway Available, Dinner, Valet Parking Available, Table reservation required, Wifi, Buffet, Desserts and Bakes, Indoor Seating, Air Conditioned",4.9
Coal Barbecues,Casual Dining,Chennai,T. Nagar,13.04680916,80.23702137,"North Indian, Mediterranean, Asian, Arabian, BBQ",1400,"Dinner, Cash, Credit Card, Debit Card, Lunch, Takeaway Available, Free Parking, Indoor Seating, Air Conditioned, Valet Parking Available, Table reservation required, Kid Friendly, Buffet",4.9
Barbeque Nation,Casual Dining,Chennai,T. Nagar,13.04676148,80.23489002,"North Indian, Continental, Kebab, BBQ",1500,"Dinner, Cash, Takeaway Available, Lunch, Delivery, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Buffet, Table booking recommended, Kid Friendly",4.8
Paradise,Casual Dining,Chennai,Perungudi,12.97245671,80.24980344,"Biryani, North Indian",800,"Lunch, Cash, Takeaway Available, Debit Card, No Alcohol Available, Dinner, Delivery, Credit Card, Indoor Seating, Air Conditioned, Table Reservation Not Required",4.4
Onesta,Casual Dining,Chennai,Semmancheri,12.87508844,80.2273225,"Pizza, Italian, Fast Food, Beverages, Desserts",600,"Dinner, Takeaway Available, Lunch, Cash, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Buffet, Table booking recommended",4.9
Chili's American Grill & Bar,Casual Dining,Chennai,"Express Avenue Mall,  Royapettah",13.05849964,80.26460756,"Mexican, American, Tex-Mex, Burger",1400,"Dinner, Cash, Credit Card, Lunch, Mall Parking, Takeaway Available, Debit Card, Indoor Seating, Table Reservation Not Required, Air Conditioned",4.8
Maplai,Casual Dining,Chennai,Nungambakkam,13.0638324,80.23634043,"Chettinad, Biryani, South Indian",1000,"Credit Card, Delivery, Dinner, Takeaway Available, Lunch, Debit Card, No Alcohol Available, Cash, Air Conditioned, Valet Parking Available, Wheelchair Accessible, Table reservation required, Wifi, Indoor Seating, Free Parking",4.4
Copper Kitchen,Casual Dining,Chennai,Porur,13.03655957,80.15713144,"Seafood, North Indian, Chinese, Chettinad",800,"Credit Card, Debit Card, Dinner, Cash, Delivery, Lunch, Takeaway Available, Live Sports Screening, Indoor Seating, Digital Payments Accepted, Buffet, Valet Parking Available, Table booking recommended, Air Conditioned, Wifi",4.5
AB's - Absolute Barbecues,Casual Dining,Chennai,Velachery,12.98186572,80.23164991,"BBQ, North Indian, European, Beverages",1400,"Debit Card, Cash, Lunch, Takeaway Available, Credit Card, Dinner, Indoor Seating, Buffet, Air Conditioned, Table booking recommended, Digital Payments Accepted",4.9
Palmshore,Casual Dining,Chennai,Ashok Nagar,13.02983701,80.20875156,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices",1000,"Credit Card, Debit Card, Dinner, Takeaway Available, Lunch, Cash, Delivery, Live Sports Screening, Indoor Seating, Air Conditioned, Wheelchair Accessible, Buffet, Valet Parking Available, Table booking recommended, Halal",4.5
Chili's American Grill & Bar,Casual Dining,Chennai,"Phoenix Market City, Velachery",12.99089639,80.21699969,"Mexican, American, Tex-Mex, Burger",1400,"Dinner, Mall Parking, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating, Table booking recommended, Free Wifi, Air Conditioned",4.8
Yaa Mohideen Biryani,Casual Dining,Chennai,Pallavaram,12.97081527,80.14718179,"Biryani, Chinese",400,"Dinner, Cash, Lunch, Debit Card, Indoor Seating, Table Reservation Not Required",4.5
Palmshore,Casual Dining,Chennai,Ramapuram,13.02609169,80.17479714,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices",1000,"Lunch, Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Credit Card, Live Sports Screening, Indoor Seating, Table booking recommended, Valet Parking Available, Air Conditioned",4.6
Pind,Casual Dining,Chennai,Velachery,12.97581504,80.22202816,"North Indian, Chinese",900,"Dinner, Cash, Delivery, Credit Card, Debit Card, Lunch, Takeaway Available, Indoor Seating, Air Conditioned, Pure Veg, Table reservation required, Catering Available, Wifi, Serves Jain Food, Buffet",4.2
Fusilli Reasons,Quick Bites,Chennai,Kilpauk,13.08144068,80.24889752,Italian,400,"Cash, Debit Card, Dinner, Delivery, Credit Card, Lunch, No Alcohol Available, Takeaway Available, Free Parking, Indoor Seating, Air Conditioned, Pure Veg",4.6
10 Downing Street,Pub,Chennai,T. Nagar,13.04296317,80.24428882,"Finger Food, North Indian, Chinese, Continental",1000,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Serves Alcohol, Free Parking, Live Entertainment, Nightlife, Fullbar, Indoor Seating, Air Conditioned, Smoking Area, Karaoke, Live Sports Screening, Valet Parking Available, Live Music, Restricted Entry, Wheelchair Accessible",4.1
Animal Kingdom,Casual Dining,Chennai,Adyar,13.0075318,80.25821116,"North Indian, Chinese, Continental, Thai, South Indian",1300,"Dinner, Takeaway Available, Lunch, Cash, Delivery, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Wheelchair Accessible, Buffet, Table booking recommended",4
Cafe Xtasi,Casual Dining,Puducherry,MG Road,11.93377885,79.83084742,"Italian, Pizza",900,"Lunch, Cash, Takeaway Available, Dinner, Delivery, Credit Card, Debit Card, Indoor Seating, Table booking recommended, Wifi, Brunch, Desserts and Bakes, Rooftop, Air Conditioned, Smoking Area",4
Coal Barbecues,Casual Dining,Chennai,Navallur,12.85154457,80.22635356,"North Indian, Mediterranean, Asian, Arabian, BBQ",1400,"Lunch, Cash, Credit Card, Debit Card, Dinner, Valet Parking Available, Table booking recommended, Indoor Seating, Air Conditioned, Wifi, Buffet, Desserts and Bakes",4.9
That Madras Place,Casual Dining,Chennai,Adyar,13.00586804,80.25076367,"European, Cafe, Italian, Salad, Sandwich, Continental, American, Beverages",800,"Dinner, Cash, Delivery, Credit Card, Lunch, Takeaway Available, Debit Card, Indoor Seating, Digital Payments Accepted, Wheelchair Accessible, Desserts and Bakes, Table booking recommended, Air Conditioned, Smoking Area, Wifi",4.1
Cleo's Grill & Cafe,Casual Dining,Chennai,Adyar,12.99315058,80.25531538,"Chinese, Continental, Steak, North Indian",1100,"Lunch, Cash, Delivery, No Alcohol Available, Dinner, Takeaway Available, Credit Card, Debit Card, Free Wifi, Air Conditioned, Wheelchair Accessible, Vegan Options, Buffet, Digital Payments Accepted, Free Parking, Romantic Dining, Table booking recommended, Kid Friendly, Private Dining Area Available, Wifi, Indoor Seating",4.5
AB's - Absolute Barbecues,Casual Dining,Chennai,Navallur,12.85046489,80.22566121,"BBQ, North Indian, European, Beverages",1400,"Dinner, Takeaway Available, Debit Card, Lunch, Cash, Credit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted",4.9
The Black Pearl,Casual Dining,Chennai,Sholinganallur,12.9014492,80.22684138,"North Indian, European, Mediterranean, Continental, BBQ",1500,"Dinner, Cash, Credit Card, Debit Card, Lunch, Valet Parking Available, Indoor Seating, Variable Menu, Live Music, Table booking recommended, Air Conditioned, Smoking Area, Buffet, Sneakpeek",4.8
Savoury Sea Shell,Casual Dining,Chennai,Anna Nagar East,13.08731766,80.21830458,"Arabian, Chinese, North Indian, Biryani, Kerala, Salad, BBQ, Burger",700,"Dinner, Cash, Takeaway Available, Lunch, Delivery, Credit Card, Debit Card, Indoor Seating, Card Upon Delivery, Buffet, Table booking recommended, Air Conditioned",4.1
Pantry d'or,Casual Dining,Chennai,Anna Nagar East,13.09198557,80.21894764,"Continental, Cafe, Italian, Desserts, Salad",750,"Credit Card, Cash, Delivery, No Alcohol Available, Dinner, Takeaway Available, Debit Card, Breakfast, Lunch, Outdoor Seating, Table reservation required, Wifi, Desserts and Bakes, Air Conditioned, Free Parking, Private Dining Area Available, Halal, Indoor Seating, Digital Payments Accepted",4.3
Azzuri Bay,Casual Dining,Chennai,Adyar,13.01121207,80.25396757,"Italian, Mediterranean, Thai, Seafood, Salad, Momos",1000,"Dinner, Credit Card, Lunch, Cash, Delivery, Debit Card, Rooftop, Air Conditioned, Wheelchair Accessible, Table reservation required",4.2
Mexicano Griller,Casual Dining,Chennai,Nungambakkam,13.06335296,80.23621604,"Mexican, Continental, Tex-Mex, American, Burger, Italian, Desserts, Beverages",800,"Dinner, Takeaway Available, Debit Card, Lunch, Cash, Delivery, Credit Card, Live Sports Screening, Indoor Seating, Table booking recommended, Kid Friendly, Disabled Friendly, Smoking Area, Brunch, Valet Parking Available, Free Wifi, Air Conditioned, Axis Bank - Dining Delights, Buffet",4
Sukkubhai Biriyani,Quick Bites,Chennai,Alandur,12.99825705,80.2014811,"Biryani, North Indian",300,"Lunch, Cash, Debit Card, No Alcohol Available, Dinner, Credit Card, Indoor Seating",4.4
Gastronomer by Double Roti,Cafe,Chennai,Teynampet,13.0339308,80.24694722,"Cafe, American, Fast Food, Burger, Momos",1000,"Dinner, Cash, Delivery, Credit Card, Lunch, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Wifi",4.4
